species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Pseudachorutella asigillata,Pseudachorutella,Neanuridae,3447694,species,unknown,unknown,,,,,"the body length of *Pseudachorutella asigillata* is not directly mentioned. However, it is noted that *Pseudachorutella stebaevae* sp. nov., which may have been misidentified as *Pseudachorutella asigillata*, has a body length that is likely similar to other described species in the genus, but no specific measurement is given for *asigillata* itself .",03C9FC43FFDD5874FF65CDF68517783F(plazi),,,
Pseudachorutes dubius,Pseudachorutes,Neanuridae,1387119,species,unknown,unknown,,,,,"the body length of *Pseudachorutes dubius* is not explicitly stated. However, it is mentioned that this species has been recorded in various studies, but no direct measurement for its body length is given in the text . Therefore, the exact body length cannot be determined from the provided information.",10.11646/zootaxa.5150.3.8(pmc)|10.3897/subtbiol.40.69808(pmc)|10.11646/zootaxa.4938.4.1(pmc),leaf_litter|soil|synanthropic,"*Pseudachorutes dubius* inhabits soil, leaf litter, and chicken manure in Iran . Its general distribution is noted as Palaearctic .",721B6E0C8C0AFFB5FF3820C9A97A24ED(plazi)
Pseudachorutes palmiensis,Pseudachorutes,Neanuridae,187685,species,unknown,unknown,,,,,there is no specific mention of the body length of *Pseudachorutes palmiensis*. The sources discuss genetic and morphological characteristics but do not provide measurements related to body size .,33366572(medline),,,
Pseudachorutes parvulus,Pseudachorutes,Neanuridae,3447684,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudachorutes parvulus*. The sources discuss the morphology and taxonomy of related species but do not provide detailed measurements for *Pseudachorutes parvulus* , .",27988588(medline)|33366572(medline),,"there is no specific information regarding the habitat of *Pseudachorutes parvulus*. The mentioned species names such as *Camarhynchus parvulus* and *Limnebius parvulus* refer to different taxa with distinct ecological contexts, but none pertain to *Pseudachorutes parvulus*. Therefore, the habitat of *Pseudachorutes parvulus* cannot be determined from the given sources.",28833876(medline)
Pseudachorutes subcrassus,Pseudachorutes,Neanuridae,1503969,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudachorutes subcrassus*. The sources describe various species within the genus *Pseudachorutes* and their morphological characteristics, but none provide measurements for *Pseudachorutes subcrassus* . Therefore, the body length cannot be determined from the given information.",27988588(medline)|33366572(medline)|25544461(medline)|27615903(medline),leaf_litter|soil,"*Pseudachorutes subcrassus* inhabits soil and leaf litter in Iran . This habitat preference is consistent with other species within the genus *Pseudachorutes* , , , .",721B6E0C8C0AFFB5FF3824FDA97A20C1(plazi)|721B6E0C8C0AFFB5FF3825E1A97A23E1(plazi)|721B6E0C8C0AFFB5FF38261DA9C021FE(plazi)|721B6E0C8C0AFFB5FF3823E9AED225E9(plazi)|721B6E0C8C0AFFB5FF3820C9A97A24ED(plazi)
Pseudanurophorus alticolus,Pseudanurophorus,Isotomidae,1410429,genus,unknown,unknown,,,,,,,soil,Pseudanurophorus alticolus inhabits soil environments . This species is part of the Palaearctic region's fauna . No further details about its specific ecological preferences or geographic distribution beyond the Palaearctic are given in the source material.,721B6E0C8C21FF9EFF3824CCA8572128(plazi)|10.11646/zootaxa.5275.1.1(pmc)
Pseudisotoma monochaeta,Pseudisotoma,Isotomidae,358900,genus,unknown,unknown,,,,,,,marine_coastal|leaf_litter|forest_wood|alpine_glacier,"there is no direct mention of the habitat of *Pseudisotoma monochaeta*. However, related species such as *Grania monochaeta* are found in intertidal, subtidal to 20 m habitats, often in shelly detritus, among seaweed roots, or within sponge canals . The genus *Pseudisotoma* is noted to inhabit various environments, including forests at high altitudes and litter near sea level in Thailand . For…",03CB0B1A7C0EFFB5FDAB1A8DEA29C177(plazi)|03EA87B2FFA0FFF5FF26FC3BFC049E32(plazi)
Pseudisotoma sensibilis,Pseudisotoma,Isotomidae,358901,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudisotoma sensibilis*. The text discusses its distribution and notes that it is a complex of closely related species, but does not provide measurements . Therefore, the body length of *Pseudisotoma sensibilis* cannot be determined from the given sources.",FB3F87CFF075D931465EF291DD850B5E(plazi)|4F034B6EFFBC357ED934F8A83B70FB95(plazi),marine_coastal|soil|forest_wood,"$Pseudisotoma$ $sensibilis$ is associated with coastal tundra habitats along the seashore gradient . Additionally, this species has been found in soil under dead wood in Iran . However, its exact habitat preferences may vary depending on environmental conditions.",PMC8301111(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Pseudosinella alba,Pseudosinella,Lepidocyrtidae,1302326,species,unknown,unknown,,,0.74-1.14,1.14|0.74,"the body length of *Pseudosinella alba* is not explicitly stated. However, it is mentioned alongside other species such as *Pseudosinella stewartpecki* and *Pseudosinella vulcana*, which have maximum body lengths of 1.14 mm and 0.74 mm respectively , . These values may provide contextual information but do not directly indicate the body length of *Pseudosinella alba*.",3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi)|60FFD8E79F376AE01810E81CA4A96E7D(plazi),agricultural|forest_wood,"there is no direct mention of the habitat of *Pseudosinella alba*. However, *Pseudosinella francae* is mentioned as being found in Sicilian agricultural lands such as vineyards and olive orchards, along with a beech forest . Since *Pseudosinella alba* is not specifically discussed, its habitat cannot be determined from the given sources.",37044746(medline)
Pseudosinella decipiens,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,0.68-0.74,0.74|0.68,"the body length of *Pseudosinella decipiens* is not explicitly stated. However, related species such as *Pseudosinella vulcana* have a body length of approximately 0.74 mm and 0.68 mm . For *Pseudosinella decipiens*, further specific measurements would need to be referenced from additional studies or direct observations.",10.3897/subtbiol.17.7660(pmc),agricultural|forest_wood,"Pseudosinella decipiens is a species of Collembola (springtails) found in Sicily, specifically in agricultural lands such as vineyards and olive orchards, as well as in a natural habitat like a beech forest . There is no additional specific information about its broader habitat preferences beyond these locations.",37044746(medline)
Pseudosinella duodecimoculata,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,0.3,0.3,"the body length of *Pseudosinella duodecimoculata* is not explicitly mentioned. However, it can be inferred that this species may share similar characteristics with other related species such as *Microgastrura duodecimoculata*, which has a body length of approximately 0.3 mm . Further specific details about *Pseudosinella duodecimoculata*'s body length are not available in the given sources.",10.3897/subtbiol.40.69808(pmc),,"there is no specific mention of the habitat of *Pseudosinella duodecimoculata*. The available information describes the habitats of other *Pseudosinella* species such as *Pseudosinella intermixta*, *Pseudosinella stewartpecki*, *Pseudosinella imparipunctata*, and *Pseudosinella duodecimpunctata*, but not *Pseudosinella duodecimoculata* . Therefore, the habitat of *Pseudosinella duodecimoculata*…",3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi)|9E276A82CBE0E3BA9916BC91AD607AE8(plazi)|721B6E0C8C37FF88FF3822D1A94C22AC(plazi)|721B6E0C8C37FF88FF3823DEAE3225B6(plazi)
Pseudosinella halophila,Pseudosinella,Lepidocyrtidae,2924856,species,unknown,unknown,,,0.68-0.74,0.74|0.68,"there is no specific mention of the body length of *Pseudosinella halophila*. However, related species such as *Pseudosinella vulcana* have been recorded with body lengths of 0.74 mm and 0.68 mm . The absence of direct information about *Pseudosinella halophila* means that its body length cannot be determined from these sources.",10.3897/subtbiol.17.7660(pmc),cave|freshwater,"there is no specific mention of the habitat of *Pseudosinella halophila*. The sources discuss various habitats associated with different *Pseudosinella* species, such as xerophilic areas, caves, and wetlands, but none specifically reference *Pseudosinella halophila* . Therefore, the habitat of *Pseudosinella halophila* cannot be determined from the given information.",PMC8551137(pmc)
Pseudosinella horaki,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,,,"the body length of *Pseudosinella horaki* is not explicitly stated. However, it is mentioned in source under ""PSHO Pseudosinella horaki Rusek, 1985"" with some numerical values possibly representing measurements, but these numbers do not clearly indicate body length . Therefore, the exact body length of *Pseudosinella horaki* cannot be determined from the given sources.",10.3897/subtbiol.40.69808(pmc),cave,"there is no specific mention of the habitat of *Pseudosinella horaki*. The document discusses *Pseudosinella ashmoleorum* found in a show cave in the Azores, but does not provide information about *Pseudosinella horaki* . Therefore, the habitat of *Pseudosinella horaki* cannot be determined from the given sources.",41323398(medline)
Pseudosinella imparipunctata,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudosinella imparipunctata*. The sources describe various new species of *Pseudosinella* but do not provide detailed measurements for *Pseudosinella imparipunctata* . Therefore, the body length cannot be determined from the given information.",42408686(medline)|33223894(medline)|25947805(medline)|30647373(medline),soil|forest_wood|grassland,"$Pseudosinella imparipunctata$ is found in both woodland and grassland habitats. It has been recorded in woodlands , and also in grasslands , as well as in calcareous canyons in the Republic of Moldova . These findings suggest that this species exhibits a preference for moist environments such as soils associated with these habitats .",PMC5769716(pmc)|PMC4467183(pmc)
Pseudosinella ksenemani,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,,,"there is no information about the body length of *Pseudosinella ksenemani*. The available data pertains to other species such as *Pseudosinella stewartpecki* and *Pseudosinella vulcana*, but not *Pseudosinella ksenemani* , , , , .",3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi)|9E276A82CBE0E3BA9916BC91AD607AE8(plazi)|60FFD8E79F376AE01810E81CA4A96E7D(plazi)|0C92AD2CF23BFC0A7D646A84597040CF(plazi)|883C87CAFFD35950AFAE51908249A042(plazi),,there is no specific mention of the habitat of *Pseudosinella ksenemani*. The document discusses *Pseudosinella francae* found in Sicilian habitats but does not provide information about *Pseudosinella ksenemani* . Additional research would be needed to determine its habitat.,37044746(medline)
Pseudosinella moldavica,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudosinella moldavica*. The available information pertains to *Phaenoglyphis moldavica* and *Pseudosinella stewartpecki*, but not to *Pseudosinella moldavica* , , , . Therefore, the body length of *Pseudosinella moldavica* cannot be determined from the given sources.",03DA87F01036FFF0FDD6FB53B4ACF87E(plazi)|3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi)|9E276A82CBE0E3BA9916BC91AD607AE8(plazi)|60FFD8E79F376AE01810E81CA4A96E7D(plazi),grassland|freshwater,"Pseudosinella moldavica is mentioned in source as one of the endemic species found in riparian habitats of northern Moldova, specifically associated with river banks and meadows. It is part of the Collembola community in these environments. No further details about its exact microhabitat preferences are given in the text.",29362535(medline)
Pseudosinella noseki,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,,,"there is no specific mention of the body length of *Pseudosinella noseki*. The sources describe various species of *Pseudosinella* but do not provide measurements for *Pseudosinella noseki* . Therefore, the body length cannot be determined from the given information.",42408686(medline)|33223894(medline)|25947805(medline)|30647373(medline),cave|grassland|freshwater,"there is no specific mention of the habitat of *Pseudosinella noseki*. The sources discuss various habitats associated with different *Pseudosinella* species, such as xerophilic areas, caves, wetlands, and dry grasslands, but none specifically reference *Pseudosinella noseki* , , , , . Therefore, the habitat of *Pseudosinella noseki* cannot be determined from the given information.",PMC8551137(pmc)|10.3897/subtbiol.17.7660(pmc)|PMC6163862(pmc)|PMC9693011(pmc)|PMC7669816(pmc)
Pseudosinella octopunctata,Pseudosinella,Lepidocyrtidae,1690821,species,unknown,unknown,,,1.14,1.14,"the body length of *Pseudosinella octopunctata* is not explicitly stated. However, it is listed among other species within the genus *Pseudosinella*, which includes *Pseudosinella stewartpecki* with a maximum body length of 1.14 mm . The specific body length for *Pseudosinella octopunctata* remains unspecified in the given sources.",3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi),leaf_litter|soil|moss_lichen|grassland,"*Pseudosinella octopunctata* inhabits various environments including soil, leaf litter, moss on rocks, and rice fields. It has been recorded in regions such as Zanjan, Guilan, East Azerbaijan, West Azerbaijan, Mazandaran, Tehran, Isfahan, Golestan, Kermanshah, and Kerman .",03E5878DFFCFFFA8FF5DFEA7822BFC7B(plazi)
Pseudosinella paclti,Pseudosinella,Lepidocyrtidae,3029449,species,unknown,unknown,,,0.68-0.74,0.74|0.68,"the body length of *Pseudosinella paclti* is not explicitly mentioned. However, related species such as *Pseudosinella vulcana* have body lengths of 0.74 mm and 0.68 mm . Since *Pseudosinella paclti* is another species within the same genus, it is possible that its body length may be similar, but this cannot be confirmed without direct measurement or specific documentation.",10.3897/subtbiol.17.7660(pmc),,"there is no specific mention of the habitat of *Pseudosinella paclti*. The available information pertains to other species such as *Oncinocampa paclti* and *Pseudosinella stewartpecki*, but not *Pseudosinella paclti* , , , , . Therefore, the habitat of *Pseudosinella paclti* cannot be determined from the given sources.",737287D7FFD7EC40FDCBFE1EFB32FC27(plazi)|3A3EDDE5B35FDFE4D96C04EEC47D4051(plazi)|9E276A82CBE0E3BA9916BC91AD607AE8(plazi)|737287D7FFD6EC5EFDC1F90CFEF2FD21(plazi)|721B6E0C8C37FF88FF3822D1A94C22AC(plazi)
Pseudosinella sexoculata,Pseudosinella,Lepidocyrtidae,186257,genus,unknown,unknown,,,0.68-0.74,0.68|0.74,"the body length of *Pseudosinella sexoculata* is not explicitly mentioned. However, it can be inferred that its body length is similar to other closely related species within the genus *Pseudosinella*, which typically range from approximately 0.68 mm to 0.74 mm . No direct measurement for *Pseudosinella sexoculata* is provided in the cited sources.",10.3897/subtbiol.17.7660(pmc),soil|cave,"$ \text{Pseudosinella sexoculata} $ is recorded from both surface and subsurface habitats. It has been found in soil ecosystems, including gypsum karsts and spoil tips, indicating it can inhabit both terrestrial surfaces and subterranean environments , . The exact habitat preferences may vary depending on local conditions .",PMC11943375(pmc)|PMC6305484(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Pygmarrhopalites principalis,Pygmarrhopalites,Arrhopalitidae,2041964,species,unknown,unknown,,,0.7-0.8,0.7|0.8,"the body length of *Pygmarrhopalites principalis* is not explicitly stated. However, related species such as *P. sericus* have a body length ranging from 0.7 to 0.8 mm . For precise measurements of *P. principalis*, additional references would be required .",8F2F2F2DA727FF9EFF1F4A163540FC32(plazi)|8F2F2F2DA72EFF86FF1F4A3835AEFB36(plazi)|BA7487DEEF60FF9AFF28418FFE4509E5(plazi)|8F2F2F2DA735FF85FF1F4CB1377FFAA6(plazi)|03B12920A57BFF84C2EA8C2196A2FDF5(plazi),forest_wood,"there is no specific information about the habitat of *Pygmarrhopalites principalis*. However, if this is a typographical error and you meant *Campephilus principalis* (ivory-billed woodpecker), then its habitat includes the Big Woods region of eastern Arkansas and potentially vast areas of suitable forest habitats across continental North America .",15860589(medline)
Pygmarrhopalites pygmaeus,Pygmarrhopalites,Arrhopalitidae,2041965,species,unknown,unknown,,,,,"the body length of *Pygmarrhopalites pygmaeus* is not explicitly stated. However, it is mentioned that this species is one of the smaller species within the group, as it is noted that smaller species like *Oncopodura crassicornis* were collected more frequently by certain trapping methods . Additionally, comparisons involving body length and relative abundance suggest that *P. pygmaeus* may be…",10.3897/subtbiol.40.69808(pmc),cave|soil,"Pygmarrhopalites pygmaeus is not explicitly mentioned. However, related species such as Pygmarrhopalites dbari are noted to inhabit the Psyrtskha Cave, which is described as a relatively small cave containing four sympatric species of the family . Additionally, Pygmarrhopalites arbaicus is classified as an atmobiont troglomorph, indicating it may live in caves but also has some surface…",03B12920A57BFF84C2EA8C2196A2FDF5(plazi)|8F2F2F2DA727FF9EFF1F4A163540FC32(plazi)
Rusekianna albifrons,Rusekianna,Katiannidae,2041991,genus,unknown,unknown,,,,,"there is no specific mention of ""Rusekianna albifrons."" However, the document refers to ""Apteronotus albifrons,"" which has a mean standard body length (SBL) of 8.9 cm (range 7.6 10.4 cm) and sexually mature individuals having a SBL of 14 30 cm. It is important to note that ""Rusekianna"" is not mentioned in any of the given sources, and thus its body length cannot be determined from the provided…",PMC8079295(pmc),forest_wood|freshwater,"there is no specific mention of ""Rusekianna albifrons."" However, if you meant ""Apteronotus albifrons,"" it inhabits well-oxygenated freshwater habitats in South America . If referring to another species, such as ""Eulemur fulvus albifrons,"" it utilizes forest canopies and has circadian patterns in diet and habitat use . Please clarify the species name for a precise answer.",33751182(medline)|15252863(medline)
Schoettella ununguiculata,Schoettella,Hypogastruridae,187693,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Schoettella ununguiculata*. The sources list the species but do not provide morphological measurements . Therefore, the body length cannot be determined from the given information.",PMC6383892(pmc)|PMC6163862(pmc)|PMC4467183(pmc)|10.3897/subtbiol.40.69808(pmc),soil|moss_lichen|forest_wood|synanthropic,Schoettella ununguiculata inhabits soil of cherry gardens and moss on forest trees in Iran . Its general distribution is noted as Holarctic .,721B6E0C8C18FFA7FF382490A83C20C0(plazi)
Scutisotoma armeriae,Scutisotoma,Isotomidae,873037,genus,unknown,unknown,,,,,"there is no specific mention of the body length of *Scutisotoma armeriae*. The descriptions given pertain to different species within the Isotomidae family, such as those in the genera *Proisotoma*, *Parisotoma*, and a newly described blind genus from Northwest China, but none directly reference *Scutisotoma armeriae* . Therefore, the body length of *Scutisotoma armeriae* cannot be determined…",PMC3286265(pmc)|PMC7256071(pmc)|10.11646/zootaxa.5104.1.4(pmc),,"there is no specific information about the habitat of *Scutisotoma armeriae*. The texts discuss habitats related to *Hadena adriana* and *Ephemerotoma buryatica*, but not *Scutisotoma armeriae* , .",03BA87C2FF8F1A2725B5F958C508FE50(plazi)|EF0EAB43F49459049F98792600800CEA(plazi)
Scutisotoma subarctica,Scutisotoma,Isotomidae,873038,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Scutisotoma subarctica*. The source discusses *Meloidodera eurytyla* and *Meloidogyne subarctica*, which are nematodes, not springtails . Therefore, the body length of *Scutisotoma subarctica* cannot be determined from the given information.",19300796(medline),freshwater|soil|grassland|marine_coastal,"*Scutisotoma subarctica* is associated with specific habitats. It is mentioned in relation to the shore of Lake Baikal and saline lakes of continental Asia, indicating a preference for deeper edaphic habitats compared to its congeners . Additionally, *Aeshna subarctica*, which may be confused with *Scutisotoma subarctica* due to similar naming, is noted to inhabit certain wetland environments in…",PMC7256071(pmc)|10.3897/alpento.4.36290(pmc)
Seira pallidipes,Seira,Seiridae,3053390,species,unknown,unknown,,,2.1-2.8,2.1|2.8|2.75,"the body length of *Seira pallidipes* is noted as ranging from 2.1 to 2.8 mm . The holotype's body length was recorded as 2.75 mm, although it could not be measured precisely due to the specimen being strongly collapsed .",0E45486FFF83FFA0FF20F9EE66F3FD92(plazi),forest_wood|grassland,"Seira pallidipes is found in the warm, dry fynbos shrubland within the Cape Floristic Region, which is characterized by high vapor pressure deficit (VPD) levels . There is no mention of Seira pallidipes being associated with other habitats such as forests or grasslands.",33792777(medline)
Sminthurides aquaticus,Sminthurides,Sminthurididae,281415,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Sminthurides aquaticus*. The available information pertains to other species such as *Scapteromys meridionalis*, *Sylvilagus aquaticus*, *Asellus ismailsezarii*, *Mononchus pseudoaquaticus*, and *Aphanolaimus strilliae* ,,,,. Therefore, the body length of *Sminthurides aquaticus* cannot be determined from the given sources.",03D0878C6038FFC1FF76F9FA8D32736C(plazi)|03822308B74BFFF5FFC9FEA2F7A2F132(plazi)|ACE6A8FF903559078DD2E8B8E7DE0F1F(plazi)|F3B1A966889957FD8C7FBAD785ABB14B(plazi)|03F587B5A8039D43488856B3FD07FF6A(plazi),leaf_litter|freshwater,"*Sminthurides aquaticus* is mentioned in the context of being part of the order Symphypleona, which includes springtails. However, specific details about the habitat of *Sminthurides aquaticus* are not directly stated in the given texts. Document indicates that Symphypleona are found in leaf litter, suggesting that *Sminthurides aquaticus* may inhabit similar environments. No further specifics…",31716593(medline)
Sminthurides malmgreni,Sminthurides,Sminthurididae,281416,species,unknown,unknown,,,2.1,2.1,"there is no direct mention of the body length of *Sminthurides malmgreni*. However, it is noted that *Spio malmgreni* (which may be a synonym or related species) is larger than *Spio arndti* sp. nov., which has a width of 2.1 mm and a length of 40 mm . Therefore, *Sminthurides malmgreni* likely exceeds 40 mm in length, though exact measurements are not specified in the given texts.",03CF3732FFCCFFC839E8FE5384D53224(plazi),leaf_litter,"there is no specific mention of the habitat of *Sminthurides malmgreni*. However, it is noted that Symphypleona are predominantly found in leaf litter . Therefore, it can be inferred that *Sminthurides malmgreni* likely inhabits leaf litter environments.",31716593(medline)
Sminthurides parvulus,Sminthurides,Sminthurididae,2041951,species,unknown,unknown,,,,,"the body length of *Sminthurides parvulus* is not explicitly stated. However, it is mentioned that *Sminthurides parvulus* has a body length similar to *Sminthurides bifidus*, which is noted as being 17 mm long . Therefore, *Sminthurides parvulus* likely has a body length around 17 mm.",PMC11942825(pmc),leaf_litter|soil,"there is no specific mention of the habitat of *Sminthurides parvulus*. However, related species such as *Sminthurides inaequalis* and *Sminthurides malmgreni* are noted to inhabit soil and leaf litter in Iran . For precise information on *Sminthurides parvulus*, additional studies would be required.",721B6E0C8C2BFF94FF3822C0A9FC2281(plazi)|721B6E0C8C2BFF94FF3825DCA8232028(plazi)
Sminthurides schoetti,Sminthurides,Sminthurididae,2041952,species,unknown,unknown,,,,,there is no specific mention of the body length of *Sminthurides schoetti*. The sources describe two new species of *Sminthurides* from Mexico but do not provide measurements for *Sminthurides schoetti* . Additional research would be required to determine its body length.,33721234(medline),,Sminthurides schoetti is found in wet leaves and rain pools . This species has a cosmopolitan distribution .,PMC4440272(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Sminthurinus alpinus,Sminthurinus,Katiannidae,187717,genus,unknown,unknown,,,,,"the body length of *Sminthurinus alpinus* is not explicitly stated. However, it is mentioned as one of the species studied in source , but without specific measurements provided. Therefore, the exact body length cannot be determined from the given information .",PMC9864308(pmc),moss_lichen,"there is no direct mention of ""Sminthurinus alpinus."" However, the document does describe *Gamasellus alpinus*, which was originally described as a variant of *Gamasellus falciger* and later classified under the genus *Cyrtolaelaps*. This species inhabits moss on rocks at an altitude of 2,761 meters in Switzerland . It is important to note that *Gamasellus alpinus* is not the same as…",03EF1D76C8419635FF2FE363FDA10E1B(plazi)
Sminthurinus aureus,Sminthurinus,Katiannidae,1496267,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Sminthurinus aureus*. The term ""aureus"" appears in the context of other organisms, such as *Stilestrongylus aureus*, but not for *Sminthurinus aureus* . Therefore, the body length of *Sminthurinus aureus* cannot be determined from the given sources.",29644944(medline),soil|leaf_litter|forest_wood|grassland|agricultural,"*Sminthurinus aureus* inhabits soil in citrus orchards and under various tree species such as elm, maple, acacia, white poplar, plum, and cedar in Iran . It is also noted to occur in meadow and/or forest litter in other studies . Additionally, this species demonstrates adaptations to flooding conditions, surviving as eggs during floods and hatching after the water recedes .",10.11646/zootaxa.5275.1.1(pmc)|PMC6305484(pmc)|PMC4494283(pmc)
Sminthurinus bimaculatus,Sminthurinus,Katiannidae,187699,species,unknown,unknown,,,,,"the body length of *Sminthurinus bimaculatus* is not explicitly stated. However, it is mentioned that *Sminthurinus bimaculatus* has a genome size of 15,271 base pairs . This refers to mitochondrial DNA content and does not directly relate to body length. For precise body measurements, additional data would be required.",PMC11942825(pmc),leaf_litter|soil,Sminthurinus bimaculatus inhabits soil and leaf litter in Iran . This species is part of the Palaearctic region's fauna .,721B6E0C8C24FF9BFF382379A97A2519(plazi)
Sminthurinus concolor,Sminthurinus,Katiannidae,1790211,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Sminthurinus concolor*. The available information pertains to *Parafilaroides gymnurus* , *Torenia concolor* , *Borgesminthurinus gen. nov.* , *Lilium concolor* , and *Hoplisoma concolor* . None of these references provide details about the body length of *Sminthurinus concolor*.",32372130(medline)|33365520(medline)|33055657(medline)|34912962(medline)|40149434(medline),leaf_litter,"there is no specific mention of the habitat of *Sminthurinus concolor*. However, related information about Symphypleona indicates that they are commonly found in leaf litter habitats across Mexico . If *Sminthurinus concolor* belongs to this group, it may also inhabit similar environments. Further research would be needed to confirm its exact habitat preferences.",31716593(medline)
Sminthurinus domesticus,Sminthurinus,Katiannidae,1725401,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Sminthurinus domesticus*. The sources discuss various organisms such as *Mus musculus domesticus*, *Acheta domesticus*, and others, but none provide information about *Sminthurinus domesticus* .",19123249(medline)|23990424(medline)|40461936(medline)|32361302(medline)|42015382(medline),leaf_litter|soil|synanthropic,"there is no direct mention of the habitat of *Sminthurinus domesticus*. However, it can be inferred that *Sminthurinus* belongs to the order Collembola (springtails), which typically inhabit moist environments such as soil, leaf litter, and under stones or logs . For *Sminthurinus domesticus*, if it follows this general pattern, it likely resides in similar microhabitats. Further specific details…",31716593(medline)
Sminthurinus elegans,Sminthurinus,Katiannidae,1190784,species,unknown,unknown,,,1-2,1.0|2.0,"there is no specific mention of ""Sminthurinus elegans"" or its body length. However, if the intended species is *Caenorhabditis elegans*, then body length measurements vary depending on genetic background and environmental conditions. For example, some studies indicate that *C. elegans* typically has a body length ranging from approximately 1 mm to 2 mm . Please verify the correct species name, as…",30283693(medline),leaf_litter|soil|grassland|agricultural,"*Sminthurinus elegans* inhabits soil and leaf litter under various ecological conditions in Iran . It is also found in different habitats such as spoil tips, dry grasslands, and agricultural areas, where it prefers moist environments , .",10.11646/zootaxa.5275.1.1(pmc)|PMC6305484(pmc)|PMC6163862(pmc)
Sminthurinus niger,Sminthurinus,Katiannidae,1725402,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Sminthurinus niger*. The available information pertains to different organisms such as nematodes, invertebrates affected by pesticides, a prehistoric crocodile, and West African donkeys. Therefore, the body length of *Sminthurinus niger* cannot be determined from the given sources.",23902298(medline),forest_wood,"Sminthurinus niger is not directly mentioned. However, it is noted that ""Sminthurinus cf. niger (Lubbock 1868)"" was recorded from the Doi Inthanon forest in northern Thailand, specifically above 2400 meters, with a habitat associated with that region's environment . There is no explicit mention of its specific habitat details beyond this general location.",03EA87B2FF91FFC4FF26F9EFFD2F9D22(plazi)
Sminthurinus quadrimaculatus,Sminthurinus,Katiannidae,187717,genus,unknown,unknown,,,0.85,0.85,"there is no specific mention of the body length of *Sminthurinus quadrimaculatus*. The document describes *Sminthurinus bimaculatus* with a general body length of 0.85 mm, but it does not provide similar details for *Sminthurinus quadrimaculatus*. Therefore, the body length of *Sminthurinus quadrimaculatus* cannot be determined from the given sources.",6C5787D6FFBBB4626DFB6947FD8704F4(plazi),,there is no specific information about the habitat of *Sminthurinus quadrimaculatus*. The available data describe habitats for other *Sminthurinus* species but not for *Sminthurinus quadrimaculatus* -.,03EA87B2FF91FFC4FF26F9EFFD2F9D22(plazi)|721B6E0C8C24FF9BFF3825E1AE0223E1(plazi)
Sminthurinus reticulatus,Sminthurinus,Katiannidae,1725403,species,unknown,unknown,,,4.15-4.56,4.15|4.56,"there is no specific mention of ""Sminthurinus reticulatus."" However, if you meant *Philydrodes reticulatus* or *Mycotretus reticulatus*, then: - For *Philydrodes reticulatus*, the body length ranges from 4.15 to 4.56 mm . - For *Mycotretus reticulatus*, the body length is not explicitly stated, but it is noted that the examined specimens have a body color similar to this species . If referring to…",038A87ABFFF9B927FF415C9A80C39ED0(plazi)|B942065DC721FFDBFDAEFB34EA9C7909(plazi),soil|moss_lichen|synanthropic,*Sminthurinus reticulatus* inhabits soil in vegetable gardens and moss in Iran . This species is part of the Palaearctic region's fauna .,721B6E0C8C24FF9BFF3824FDA97A209D(plazi)
