species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Pseudosinella paclti,Pseudosinella,Lepidocyrtidae,3029449,species,,,,the sources contain no explicit statement about this species' diet,2,E75F2B15FFDBFFEDFCB56887FDDDF9DA(plazi)|03B98133FFF46A12FF46CAAA6DB083AC(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pseudosinella paclti*. The sources primarily focus on taxonomic descriptions and morphological comparisons rather than ecological data , . Further research would be needed to determine its dietary preferences.",,,,2,03B98133FFF46A12FF46CAAA6DB083AC(plazi),"Based on the provided documents, the body length of *Pseudosinella paclti* is not explicitly stated. The description focuses on morphological features such as the structure of the mucro and macrosetae patterns but does not provide measurements . Additional references or studies would be needed to determine the exact body length.",,,,the sources give no explicit habitat description for this species,2,03B98133FFF46A12FF46CAAA6DB083AC(plazi)|E75F2B15FFDBFFEDFCB56887FDDDF9DA(plazi),"Based on the provided documents, there is no specific information about the habitat of *Pseudosinella paclti*. The sources discuss its morphological characteristics and taxonomic relationships but do not mention its ecological preferences or habitat. ,",11,NA,epikarst,NA,Slovakia,Zilina,"49.01,19.588|49.002,19.583",911|914|NA,2019-2020,Temperate_Conifer_Forest_simplify-0.001_buffered-0.018,Carpathian_montane_forests
Pseudosinella sexoculata,Pseudosinella,Lepidocyrtidae,186257,genus,,,,the sources contain no explicit statement about this species' diet,5,E03187B3FFD3D404FF31F40FFD7FF90E(plazi)|03AA531A0F45352AFF595B48FE94AE07(plazi)|03CF878BFFCBC20921FD5804FE87ABF1(plazi)|721B6E0C8C37FF88FF3827C2A95E21BF(plazi)|03DD371FFFACFFD93405FC18FDFDFB48(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pseudosinella sexoculata*. The sources describe its distribution, ecological associations, and habitats but do not mention what it feeds on .",,,,5,03CF878BFFCBC20921FD5804FE87ABF1(plazi)|E03187B3FFD3D404FF31F40FFD7FF90E(plazi)|03AA531A0F45352AFF595B48FE94AE07(plazi)|721B6E0C8C37FF88FF3827C2A95E21BF(plazi)|03DD371FFFACFFD93405FC18FDFDFB48(plazi),"Based on the provided documents, there is no specific mention of the body length of *Pseudosinella sexoculata*. The sources describe its distribution, ecological preferences, and type localities but do not provide morphometric data such as body length .",leaf_litter|soil|forest_wood|synanthropic,,direct,"habitat statement concerns Pinus nigra, not the target species",5,03DD371FFFACFFD93405FC18FDFDFB48(plazi)|E03187B3FFD3D404FF31F40FFD7FF90E(plazi)|03AA531A0F45352AFF595B48FE94AE07(plazi)|721B6E0C8C37FF88FF3827C2A95E21BF(plazi),"Based on the provided documents, *Pseudosinella sexoculata* inhabits soil and leaf litter under oak trees in Iran's Kurdistan province . It is also found in forest soils and urban soils in Vietnam . The species occurs in various habitats including soil associated with *Pinus nigra* in Europe . Its general distribution indicates it is cosmopolitan, occurring in diverse environments such as forests, urban areas, and specific regions like the Red River Delta in Vietnam .",3,Adult,Garden compost,NA,Sweden,Vasternorrland,"58.335,13.594",NA,2014,NA,Sarmatic_mixed_forests
Pygmarrhopalites principalis,Pygmarrhopalites,Arrhopalitidae,2041964,species,,,,the sources contain no explicit statement about this species' diet,7,41119333(medline)|266B5D55F720FFB3FF7EF99F45B1FF1A(plazi)|03AA531A0F473528FF595F1BFB4DA5C7(plazi)|721B6E0C8C25FF9AFF38263DA9D421D8(plazi)|BA7487DEEF5DFF91FF2841AAFF7C08D0(plazi)|8F2F2F2DA727FF9EFF1F4A163540FC32(plazi)|BA7487DEEF60FF9AFF28418FFE4509E5(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pygmarrhopalites principalis*. The sources discuss morphological characteristics and distribution of species within the genus *Pygmarrhopalites* but do not provide details about their dietary preferences .",,,,7,41119333(medline)|BA7487DEEF5DFF91FF2841AAFF7C08D0(plazi),"Based on the provided documents, there is no specific mention of the body length of *Pygmarrhopalites principalis*. The text describes two newly described species, *P. arbaicus* sp. nov. and *P. trisetosus* sp. nov., but does not provide measurements for *P. principalis* or any other species in the genus. Therefore, the body length of *Pygmarrhopalites principalis* cannot be determined from the given sources.",,cave,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,7,41119333(medline)|266B5D55F720FFB3FF7EF99F45B1FF1A(plazi)|721B6E0C8C25FF9AFF38263DA9D421D8(plazi)|03AA531A0F473528FF595F1BFB4DA5C7(plazi),"Based on the provided documents, there is no specific mention of the habitat of *Pygmarrhopalites principalis*. The text discusses the discovery of two new species (*P. arbaicus* sp. nov. and *P. trisetosus* sp. nov.) and mentions *P. sericus* being found in caves in the Caucasus, but does not provide information about *P. principalis* . Therefore, the habitat of *Pygmarrhopalites principalis* cannot be determined from the given sources.",8,adult,Coniferous forest|Birch forest|NA|Lake shore|Alpine|Peatland,Litter from decaying tree|Soil/litter sample|Moss sample from ditch|Moss sample,Finland,,"67.841,26.717|67.012,27.218|66.682,26.663",218|216,2019-2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga
Pygmarrhopalites pygmaeus,Pygmarrhopalites,Arrhopalitidae,2041965,species,,,,the sources contain no explicit statement about this species' diet,4,3F328793FFA60620FF43FA52FD45AAAD(plazi)|03A12C184329C143CC831D89B60BFF06(plazi)|266B5D55F721FFB3FF7EFE844509FD61(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Pygmarrhopalites pygmaeus*. The sources primarily describe its taxonomy, geographic distribution, and collection localities . Further research would be needed to determine its dietary preferences.",,,,4,266B5D55F721FFB3FF7EFE844509FD61(plazi)|03A12C184329C143CC831D89B60BFF06(plazi)|03DE1A5CFFC84F3F2EE87553DB574E02(plazi)|3F328793FFA60620FF43FA52FD45AAAD(plazi),"Based on the provided documents, there is no specific mention of the body length of *Pygmarrhopalites pygmaeus*. The sources discuss its taxonomy, geographic distribution, and collection localities but do not provide morphological measurements . Additional studies would be required to determine its body length.",soil|cave,,direct,no explicit habitat description in the sources; value inferred,4,03A12C184329C143CC831D89B60BFF06(plazi)|266B5D55F721FFB3FF7EFE844509FD61(plazi),"Based on the provided documents, *Pygmarrhopalites pygmaeus* has been collected from various caves in Arkansas and other locations, indicating its habitat includes subterranean environments such as caves . These findings suggest it is likely an obligate cave-dweller, adapted to life in dark, humid conditions with limited food resources . The general distribution of the species is described as Holarctic, implying it may inhabit similar subterranean systems across a wide geographic range .",2,NA,epikarst,NA,Slovakia,Zilina,"49.002,19.583",NA,2020,Temperate_Conifer_Forest_simplify-0.001_buffered-0.018,Carpathian_montane_forests
Rusekianna albifrons,Rusekianna,Katiannidae,2041991,genus,,,,,0,,,,,,0,,,,,,,0,,,2,adult,Coniferous forest|NA,"Cladina lichen, pitfall trap|Soil/litter sample",Finland,,"61.684,26.487|60.335,21.98",NA,2019-2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,Scandinavian_and_Russian_taiga|NA
Schoettella ununguiculata,Schoettella,Hypogastruridae,187693,species,,,,the sources contain no explicit statement about this species' diet,3,4F034B6EFFBE3573D916FAED3C8FFA65(plazi)|03B387DE0E3FFFB7BF8DF9A573A8E64C(plazi)|E03187B3FF8FD459FF31F645FD2AFE47(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Schoettella ununguiculata*. The sources describe its distribution, collection locations, and taxonomic history but do not mention its food source . Further research would be needed to determine its dietary preferences.",,,,3,03B387DE0E3FFFB7BF8DF9A573A8E64C(plazi)|4F034B6EFFBE3573D916FAED3C8FFA65(plazi)|E03187B3FF8FD459FF31F645FD2AFE47(plazi),"Based on the provided documents, there is no specific mention of the body length of *Schoettella ununguiculata*. The sources describe its distribution, habitat, and taxonomic history but do not provide morphological measurements .",leaf_litter|soil|forest_wood|synanthropic,,direct,,3,03B387DE0E3FFFB7BF8DF9A573A8E64C(plazi)|4F034B6EFFBE3573D916FAED3C8FFA65(plazi)|E03187B3FF8FD459FF31F645FD2AFE47(plazi),"Based on the provided documents, *Schoettella ununguiculata* inhabits forest environments, specifically soil and leaf litter in forested areas . It has also been found in the bark of maple trees in pine forest litter in Tsey Gorge . Additionally, it occurs in both forest and urban soils across various regions in Vietnam .",5,adult|NA,"Coniferous forest|NA|R3, Seasonally wet and wet grasslands|R1, Dry grasslands",Litter from pine stump and mosses|NA|soil corer,Finland|France|Germany,Baden-Wuerttemberg,"66.695,27.837|46.64237,2.1940236|48.79,9.28",257|NA|450,1998-2022,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga|Western_European_broadleaf_forests|NA
Scutisotoma armeriae,Scutisotoma,Isotomidae,873037,genus,,,,the sources contain no explicit statement about this species' diet,1,039587D4FF8DFFEF1373FA34735DFEC5(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Scutisotoma armeriae*. The text mentions its classification and morphological characteristics but does not address its food source .",,,,1,039587D4FF8DFFEF1373FA34735DFEC5(plazi),"Based on the provided documents, the body length of *Scutisotoma armeriae* is not explicitly mentioned. The text refers to it as an exception but does not provide specific measurements . Additional sources would be required to determine its body length.",,,,the sources give no explicit habitat description for this species,1,039587D4FF8DFFEF1373FA34735DFEC5(plazi),"Based on the provided documents, there is no specific information about the habitat of *Scutisotoma armeriae*. The text mentions that *Scutisotoma* includes *S. armeriae* as an exception but does not describe its ecological preferences or habitat . Further research would be needed to determine this detail.",3,Adult,Stony beach meadow,NA,Norway,Vestfold,"59.063,10.522",NA,2014,NA,NA
Scutisotoma subarctica,Scutisotoma,Isotomidae,873038,species,,,,the sources contain no explicit statement about this species' diet,2,039587D4FF8DFFEF1373FA34735DFEC5(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Scutisotoma subarctica*. The sources describe morphological characteristics and taxonomic relationships but do not mention dietary preferences . Further research would be needed to determine its food source.",,,,2,039587D4FF8DFFEF1373FA34735DFEC5(plazi)|03F06833FFAC647E8CC6F3ACFD39FC72(plazi),"Based on the provided documents, there is no specific mention of the body length of *Scutisotoma subarctica*. The sources describe morphological characteristics such as the structure of the maxillary palp, number of chaetae, and comparisons with other genera, but do not provide measurements or body length data for this species , .",,,,the sources give no explicit habitat description for this species,2,039587D4FF8DFFEF1373FA34735DFEC5(plazi),"Based on the provided documents, the specific habitat of *Scutisotoma subarctica* is not explicitly mentioned. However, it is noted that this species belongs to a group characterized by certain morphological features, such as a simple maxillary palp and specific arrangements of chaetae . These traits might correlate with particular ecological preferences, but without direct habitat descriptions, further details cannot be confirmed.",2,Adult,"Alpine moss, 2.000 m alt.",NA,Norway,Oppland,"61.397,8.711",2000,2014,NA,Scandinavian_Montane_Birch_forest_and_grasslands
Seira pallidipes,Seira,Seiridae,3053390,species,,,,the sources contain no explicit statement about this species' diet,4,0E45486FFF83FFA0FF20F9EE66F3FD92(plazi)|6F4164B38B895EA0B29D5BC542B4442A(plazi)|03AA531A0F44352BFFA85E70FB83A49B(plazi)|PMC10838177(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Seira pallidipes*. The sources primarily focus on taxonomic descriptions, synonyms, and geographical distributions rather than ecological data related to feeding behavior .",2.1-2.8,,,4,0E45486FFF83FFA0FF20F9EE66F3FD92(plazi)|PMC10838177(pmc),"Based on the provided documents, the body length of *Seira pallidipes* is noted as ranging from 2.1 to 2.8 mm . The holotype's body length was recorded as 2.75 mm, although it could not be measured precisely due to the specimen being strongly collapsed .",soil|grassland|sandy_dune,,direct,,4,0E45486FFF83FFA0FF20F9EE66F3FD92(plazi)|6F4164B38B895EA0B29D5BC542B4442A(plazi)|PMC10838177(pmc),"Based on the provided documents, *Seira pallidipes* inhabits sub-Pannonian steppic grasslands on stony soils, often sharing a relatively common Collembola fauna with sandy or loess steppic grasslands . It is also found in extremely saline open pioneer swards . Additionally, it occurs in sandy grasslands in Serbia . The specific habitat preferences include open sand steppes in Central Hungary .",1,NA,NA,NA,Hungary,,NA,NA,2022,NA,NA
Sminthurides aquaticus,Sminthurides,Sminthurididae,281415,species,,,,the sources contain no explicit statement about this species' diet,5,266B5D55F71DFF8FFF7EFC204378FB22(plazi)|6040DE7A2535FFA25A767114FDAFFAE1(plazi)|721B6E0C8C2BFF94FF3823C4A88F2584(plazi)|03CF878BFFE4C22621E15A69FD7BABF1(plazi)|E03187B3FF11D4C6FF31F1A3FBD6FACA(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Sminthurides aquaticus*. The sources primarily focus on taxonomy, distribution, and ecological habitats rather than dietary preferences . Further research would be needed to determine its food source.",,,,5,6040DE7A2535FFA25A767114FDAFFAE1(plazi)|266B5D55F71DFF8FFF7EFC204378FB22(plazi)|03CF878BFFE4C22621E15A69FD7BABF1(plazi)|721B6E0C8C2BFF94FF3823C4A88F2584(plazi)|E03187B3FF11D4C6FF31F1A3FBD6FACA(plazi),"Based on the provided documents, there is no specific mention of the body length of *Sminthurides aquaticus*. The sources discuss taxonomy, distribution, and ecology but do not provide measurements related to body size .",soil|synanthropic|forest_wood|grassland|agricultural,,direct,,5,721B6E0C8C2BFF94FF3823C4A88F2584(plazi)|E03187B3FF11D4C6FF31F1A3FBD6FACA(plazi),"Based on the provided documents, *Sminthurides aquaticus* inhabits soil environments. It is found in various habitats including forests, shrublands, grasslands, wastelands, cultivated lands, gardens, and urban soils . Its general distribution includes the Holarctic region, with specific records in areas such as France, Vietnam, and other parts of Europe .",3,Adult|adult|NA,"EUNIS E3.41; Atlantic and sub-Atlantic humid meadows. Meadow next to lakeshore, open grassland|Pond shore|NA",NA|Moss sample,Denmark|Finland|Germany,,"56.04,9.696|66.76,28.77|48.6392,8.1908",NA|287,2015-2020,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Baltic_mixed_forests|Scandinavian_and_Russian_taiga|Western_European_broadleaf_forests
Sminthurides malmgreni,Sminthurides,Sminthurididae,281416,species,,,,the sources contain no explicit statement about this species' diet,5,28311073(medline)|E03187B3FF10D4C7FF31F0CBFD2AFC8B(plazi)|721B6E0C8C2BFF94FF3825DCA8232028(plazi)|266B5D55F71DFF8CFF7EF888450CFE11(plazi)|03CF878BFFE4C226228C5FE2FAA3A87E(plazi),"Based on the provided documents, there is no specific information about the diet of *Sminthurides malmgreni*. The text mentions its ability to survive long-term inundation in the egg stage but does not describe its feeding habits . Further research would be needed to determine its dietary preferences.",,,,5,28311073(medline)|721B6E0C8C2BFF94FF3825DCA8232028(plazi)|E03187B3FF10D4C7FF31F0CBFD2AFC8B(plazi)|266B5D55F71DFF8CFF7EF888450CFE11(plazi)|03CF878BFFE4C226228C5FE2FAA3A87E(plazi),"Based on the provided documents, there is no specific mention of the body length of *Sminthurides malmgreni*. The text discusses the survival strategies of various species during flooding but does not provide morphological details such as body length for this particular species .",floodplain,,direct,,5,28311073(medline)|E03187B3FF10D4C7FF31F0CBFD2AFC8B(plazi)|03CF878BFFE4C226228C5FE2FAA3A87E(plazi)|721B6E0C8C2BFF94FF3825DCA8232028(plazi),"Based on the provided documents, Sminthurides malmgreni is found on the flood plains of Eder Reservoir (Germany), where it survives long-term inundations in the egg stage under water . This indicates that its habitat includes these flood plain environments, which are subject to periodic flooding.",3,adult|NA,Lake shore|Peatland|NA,Moss sample|NA,Finland|United Kingdom,,"68.758,27.461|68.534,27.525|51.2101,-0.3198",152|190|NA,2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga|English_Lowlands_beech_forests
Sminthurides parvulus,Sminthurides,Sminthurididae,2041951,species,,,,the sources contain no explicit statement about this species' diet,3,03CF878BFFE4C22622885A48FA4FABF1(plazi)|E03187B3FF10D4C7FF31F253FBE9FA57(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, there is no specific information regarding the diet of *Sminthurides parvulus*. The sources primarily focus on the distribution and taxonomy of the species rather than its feeding habits , . Further research would be needed to determine its dietary preferences.",,,,3,E03187B3FF10D4C7FF31F253FBE9FA57(plazi)|03CF878BFFE4C22622885A48FA4FABF1(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, there is no specific mention of the body length of *Sminthurides parvulus*. The sources primarily focus on the distribution and taxonomic history of the species , . Additional biological characteristics such as body length are not detailed in the given texts.",forest_wood|grassland|agricultural,,direct,,3,E03187B3FF10D4C7FF31F253FBE9FA57(plazi)|03CF878BFFE4C22622885A48FA4FABF1(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, *Sminthurides parvulus* inhabits various environments including forests, grasslands, and cultivated lands in Vietnam . Additionally, it is found in regions such as Bas-Rhin, Essonne, Finistère, Hautes-Pyrénées, Indre, and Loiret in France, typically associated with specific localities like parks and mountainous areas . The exact habitat details beyond these locations are not fully specified in the given texts.",1,Adult,EUNIS G1.5; Broadleaved swamp woodland on acid peat. Sphagnum etc.,NA,Denmark,,"56.126,9.503",NA,2019,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,Baltic_mixed_forests
Sminthurides schoetti,Sminthurides,Sminthurididae,2041952,species,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFE5C22721F25C6BFD68AA31(plazi),"Based on the provided documents, there is no specific information about the diet of *Sminthurides schoetti*. The sources describe its distribution across various regions in France but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",,,,1,03CF878BFFE5C22721F25C6BFD68AA31(plazi),"Based on the provided documents, there is no mention of the body length of *Sminthurides schoetti*. The sources describe its distribution across various regions but do not provide morphological details such as body length .",freshwater,,direct,,1,03CF878BFFE5C22721F25C6BFD68AA31(plazi),"Based on the provided documents, *Sminthurides schoetti* inhabits various types of wetlands and marshy areas across France, including marais (marshes) such as those in Bouches-du-Rhône, Essonne, Hauts-de-Seine, Indre, Loiret, and other regions at elevations ranging from 400 to 1400 meters . These habitats are typically associated with temporary or permanent water bodies, suggesting a preference for moist environments. The species has been recorded in both natural and protected areas, indicating its ecological significance in these ecosystems.",4,adult,Peatland|Coniferous forest|Pond shore,Moss sample|Moss sample from ditch,Finland,,"66.744,28.808|66.682,26.663",274|216,2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,Scandinavian_and_Russian_taiga
Sminthurinus alpinus,Sminthurinus,Katiannidae,187717,genus,,,,,0,,,,,,0,,,,,,,0,,,3,Adult,"Under bark, dead trees",NA,Norway,Vestfold,"59.149,10.438",NA,2014,NA,NA
Sminthurinus aureus,Sminthurinus,Katiannidae,1496267,species,,,,the sources contain no explicit statement about this species' diet,7,28311073(medline)|721B6E0C8C2BFF94FF382184A97A278C(plazi)|03CF878BFFFFC23D21E75D8DFB96AE0B(plazi)|03DD371FFFABFFDE34F6FA1CFD5EF954(plazi)|721B6E0C8C24FF9BFF382035A97A241D(plazi)|502187F3DD5DFF9BFF34FDEA0A4EFD50(plazi)|0383FA70377C8B76C66FF9C95E3CF8FB(plazi),"Based on the provided documents, there is no specific information about the diet of *Sminthurinus aureus*. The text mentions that this species survives long-term inundations in the egg stage but does not describe its feeding habits . Further research would be needed to determine its dietary preferences.",,,,7,28311073(medline)|721B6E0C8C2BFF94FF382184A97A278C(plazi)|721B6E0C8C24FF9BFF382035A97A241D(plazi)|502187F3DD5DFF9BFF34FDEA0A4EFD50(plazi)|03CF878BFFFFC23D21E75D8DFB96AE0B(plazi)|03DD371FFFABFFDE34F6FA1CFD5EF954(plazi)|0383FA70377C8B76C66FF9C95E3CF8FB(plazi),"Based on the provided documents, there is no specific mention of the body length of *Sminthurinus aureus*. The text discusses the survival strategies of various species during flooding but does not provide morphological details such as body length for *Sminthurinus aureus* .",floodplain,,direct,,7,28311073(medline)|03DD371FFFABFFDE34F6FA1CFD5EF954(plazi)|721B6E0C8C2BFF94FF382184A97A278C(plazi)|0383FA70377C8B76C66FF9C95E3CF8FB(plazi)|721B6E0C8C24FF9BFF382035A97A241D(plazi)|502187F3DD5DFF9BFF34FDEA0A4EFD50(plazi),"Based on the provided documents, Sminthurinus aureus is found in the flood plains of Eder Reservoir (Germany), where it survives long-term inundations in the egg stage under water . This indicates that its habitat includes these flood plain environments, which are subject to periodic flooding.",39,adult|immature|NA,"NA|Coniferous forest|Peatland|Arctic garden|R1, Dry grasslands|G1.2, Mixed riparian floodplain and gallery woodland",NA|Soil/litter sample|Moss sample|Litter from decaying tree|Moss sample from ditch|soil corer,France|Finland|Germany|Norway,Normandie|Baden-Wuerttemberg|Saxony|More og Romsdal,"49.457,1.069",NA,2009-2022,NA|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,European_Atlantic_mixed_forests|Scandinavian_and_Russian_taiga|NA|Western_European_broadleaf_forests|Scandinavian_Montane_Birch_forest_and_grasslands
Sminthurinus bimaculatus,Sminthurinus,Katiannidae,187699,species,,,,the sources contain no explicit statement about this species' diet,3,6C5787D6FFBBB4626DFB6947FD8704F4(plazi)|721B6E0C8C24FF9BFF382379A97A2519(plazi)|03CF878BFFFFC23D22855D63FA87AEE2(plazi),"Based on the provided documents, there is no specific information about the diet of *Sminthurinus bimaculatus*. The sources describe its morphology, distribution, and habitat but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",0.85,,,3,6C5787D6FFBBB4626DFB6947FD8704F4(plazi),"Based on the provided documents, the body length of *Sminthurinus bimaculatus* is approximately 0.85 mm . This measurement refers to the general body length of the species.",leaf_litter|soil,,direct,"habitat statement concerns Specimens have, not the target species",3,6C5787D6FFBBB4626DFB6947FD8704F4(plazi)|721B6E0C8C24FF9BFF382379A97A2519(plazi),"Based on the provided documents, *Sminthurinus bimaculatus* inhabits soil and leaf litter environments . Specimens have been collected from leaf litter in Arunachal Pradesh and Odisha, India . The species is also noted to occur in the Palaearctic region .",1,,NA,NA,France,,"46.64237,2.1940236",NA,2002,NA,Western_European_broadleaf_forests
Sminthurinus concolor,Sminthurinus,Katiannidae,1790211,species,,,,the sources contain no explicit statement about this species' diet,3,32260571(medline)|03C08371CC50FF9ABDBC2134FDEBF8B8(plazi)|PMC7240498(pmc),"Based on the provided documents, there is no specific information about the diet of *Sminthurinus concolor*. The source discusses the presence and distribution of microarthropods but does not detail their feeding habits . Further research would be needed to determine the specific food sources of this species.",,,,3,32260571(medline)|03C08371CC50FF9ABDBC2134FDEBF8B8(plazi)|PMC7240498(pmc),"Based on the provided documents, there is no specific information given about the body length of *Sminthurinus concolor*. The source discusses the presence and diversity of microarthropods but does not provide morphological details such as body length for this species .",,alpine_glacier,,the sources give no explicit habitat description for this species,3,32260571(medline)|03C08371CC50FF9ABDBC2134FDEBF8B8(plazi)|PMC7240498(pmc),"Based on the provided documents, *Sminthurinus concolor* is part of microarthropod communities found in the high Arctic near a receding glacier. These communities vary in species composition and abundance depending on proximity to the glacier, with *Sminthurinus concolor* being recorded among other species such as *Oribates quadrioculata*, *Hypogastrura concolor*, and *Isotoma anglicana* . The specific habitat details for *Sminthurinus concolor* are not explicitly described in the source.",1,Adult,Arctic tundra,NA,Norway,Svalbard,"78.115,20.828",NA,2009,NA,NA
Sminthurinus domesticus,Sminthurinus,Katiannidae,1725401,species,,,,,0,,,,,,0,,,,,,,0,,,2,NA,NA,NA,United Kingdom|Germany,,"51.2158,-0.3161|48.6392,8.1908",NA,,NA,English_Lowlands_beech_forests|Western_European_broadleaf_forests
Sminthurinus elegans,Sminthurinus,Katiannidae,1190784,species,,herbivore,,the sources contain no explicit statement about this species' diet,6,721B6E0C8C24FF9BFF382275AF1422E5(plazi),"Based on the provided documents, there is no explicit mention of the diet or feeding habits of *Sminthurinus elegans*. The sources primarily focus on the taxonomy, distribution, and ecological preferences of the species, such as its presence in soil and leaf litter under cypress trees and moss on timbers . Further research would be needed to determine its specific dietary requirements.",,,,6,4F034B6EFFB0357CDBA1FA7E3AE3F8BF(plazi)|502187F3DD5DFF9BFF34FC9E0AEFFC04(plazi)|03CF878BFFFFC23D22A05C0FFB5EAB13(plazi)|721B6E0C8C24FF9BFF382275AF1422E5(plazi)|03AA531A0F44352BFFA85B57FCB2A1CE(plazi),"Based on the provided documents, there is no mention of the body length of *Sminthurinus elegans*. The sources discuss the distribution, ecology, and habitat preferences of the species but do not provide measurements related to body size .",leaf_litter|soil|moss_lichen|grassland|forest_wood,,direct,,6,721B6E0C8C24FF9BFF382275AF1422E5(plazi)|4F034B6EFFB0357CDBA1FA7E3AE3F8BF(plazi)|502187F3DD5DFF9BFF34FC9E0AEFFC04(plazi),"Based on the provided documents, *Sminthurinus elegans* inhabits soil and leaf litter under cypress trees and moss on timbers in Iran . Additionally, it prefers meadow communities and has been found on pastures and in mixed forests with moss on stones in other regions . The species is widespread and can be found in various habitats across its broad distribution range .",20,NA|adult,NA,NA|Litter from decaying pine stump|Malaise Trap,France|Finland|United Kingdom,Provence-Alpes-Cote d'Azur|Occitanie|Ile-de-France,"NA|42.822,2.358",NA|410,2005-2024,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,NA|Northeast_Spain_and_Southern_France_Mediterranean_forests|European_Atlantic_mixed_forests|Sarmatic_mixed_forests|English_Lowlands_beech_forests|Celtic_broadleaf_forests
